timestamp,hora,dia_semana,final_semana,turno,ocupacao,iluminacao_kwh,ar_condicionado_kwh,equipamentos_kwh,consumo_total_kwh
2025-01-01 00:00:00,0,2,0,Madrugada,6,0.25,0.25,0.65,1.0767246370310004
2025-01-01 00:15:00,0,2,0,Madrugada,3,0.25,0.25,0.575,1.0048328089975924
2025-01-01 00:30:00,0,2,0,Madrugada,12,0.25,0.25,0.8,1.3490636221422716
2025-01-01 00:45:00,0,2,0,Madrugada,14,0.25,0.25,0.85,1.2472097234286306
2025-01-01 01:00:00,1,2,0,Madrugada,10,0.25,0.25,0.75,1.2970602600775045
2025-01-01 01:15:00,1,2,0,Madrugada,7,0.25,0.25,0.675,1.2480113356509737
2025-01-01 01:30:00,1,2,0,Madrugada,12,0.25,0.25,0.8,1.2567467738300981
2025-01-01 01:45:00,1,2,0,Madrugada,4,0.25,0.25,0.6,1.2327078102013667
2025-01-01 02:00:00,2,2,0,Madrugada,6,0.25,0.25,0.65,1.0227175387938492
2025-01-01 02:15:00,2,2,0,Madrugada,9,0.25,0.25,0.725,1.3595406190611672
2025-01-01 02:30:00,2,2,0,Madrugada,2,0.25,0.25,0.55,0.8556012570514867
2025-01-01 02:45:00,2,2,0,Madrugada,6,0.25,0.25,0.65,1.4199714140419508
2025-01-01 03:00:00,3,2,0,Madrugada,10,0.25,0.25,0.75,1.2093797761378167
2025-01-01 03:15:00,3,2,0,Madrugada,10,0.25,0.25,0.75,1.1337692843612381
2025-01-01 03:30:00,3,2,0,Madrugada,7,0.25,0.25,0.675,1.1517328091480001
2025-01-01 03:45:00,3,2,0,Madrugada,4,0.25,0.25,0.6,0.9953522057375572
2025-01-01 04:00:00,4,2,0,Madrugada,3,0.25,0.25,0.575,1.1136965298854542
2025-01-01 04:15:00,4,2,0,Madrugada,7,0.25,0.25,0.675,1.3117657331470147
2025-01-01 04:30:00,4,2,0,Madrugada,7,0.25,0.25,0.675,1.0756543773943323
2025-01-01 04:45:00,4,2,0,Madrugada,2,0.25,0.25,0.55,1.1079399239174004
2025-01-01 05:00:00,5,2,0,Madrugada,5,0.25,0.25,0.625,0.9717264631104241
